"KE","KEName","KEID","KEDescription"
"https://identifiers.org/aop.events/1538","Decreased protection against oxidative stress","KE 1538","High levels reactive oxygen species (ROS) can be very damaging to cells and molecules within the cell.  As a result, the cell has important defense mechanisms to protect itself from ROS, such as glutathione and selenoenzymes.

 

Glutathione (GSH) is the most abundant low molecular mass thiol compound synthesized in cells, reaching intracellular concentrations of 1&ndash;10 mM, and is the major antioxidant and redox buffer in human cells. In fact, GSH serves as a reducing agent for ROS and other unstable molecules generated by catalytic systems, including glutathione peroxidase (GPx)(Forman, 2009).

 

Selenium plays a crucial role in antioxidant defense, as one Se atom is absolutely required at the active site of all selenoenzymes, such as GPx and thioredoxin reductase (TrxR), in the form of selenocystein (Rayman, 2000). GPx is an antioxidant enzyme that, in the presence of tripeptide GSH, adds two electrons to reduce H2O2 and lipid peroxides to water and lipid alcohols, respectively, while simultaneously oxidizing GSH to glutathione disulfide. The GPx/GSH system is thought to be a major defense in low-level oxidative stress, and decreased GPx activity or GSH levels may lead to the absence of adequate H2O2 and lipid peroxides detoxification, which may be converted to OH-radicals and lipid peroxyl radicals, respectively, by transition metals (Fe2+) (Brigelius-Flohe, 2013). Thioredoxin reductase (TrxR) is essential for maintaining intracellular redox status. The expression of this small (12 kDa) ubiquitous thiol-active protein is induced by ROS and an elevated serum level may indicate a state of oxidative stress. In this regard, TrxR, a NADPH-dependent lipid hydroperoxide reductase, uses NADPH to maintain the levels of reduced Trx via a mechanism similar to that used by GR to maintain GSH levels, contributing to the maintenance of thiol redox homeostasis in proteins. Importantly, the inhibition of TrxR impairs the cyclical regeneration of Trx activity, as Trx remains in the oxidized state (Bjornstedt, 1995, Zhong, 2002). Other, less studied selenoproteins, such as SelP, H, K, S, R, and W selenoproteins, play a role in antioxidant defense (Pisoschi, 2015, Reeves, 2009)"
"https://identifiers.org/aop.events/1542","Increase, Mitochondrial complex III antagonism","KE 1542","The mitochondrial complex III (mitochondrial cytochrome bc1 complex) is an enzyme complex located in the inner membrane of mitochondria. It is the third out of 5 complexes that together form the mitochondrial respiratory chain. It consists out of multiple subunits, including cytochrome b/b6, cytochrome c1 and an 2Fe-2S cluster.

The combination of these subunits catalyze following process:


	
	The cytochrome c1 is involved in the process of oxidizing ubiquinol (coming directly from complex I, from complex I via complex II or from complex II) to a semiquinone radical and back to quinone. A process that results in two free electrons that are transferred via cytochrome c to next complex.
	


 

The electron transfer in this process mediates the translocation of protons from the mitochondrial matrix through the inner membrane to the intermembrane space. The created proton gradient will be used to catalyze the reaction in which ADP is converted into ATP.

 

The initiation event is the reversibly or irreversibly interaction to any of the subunits in the mitochondrial complex III, leading to an perturbation of the electron flow and an absence of proton transport via this complex."
"https://identifiers.org/aop.events/1543","Mitochondrial Complex IV inhibition","KE 1543","The mitochondrial complex IV (Cytochrome c oxidase) is an enzyme complex located in the inner membrane of mitochondria. It is the forth out of 5 complexes that together form the mitochondrial respiratory chain. It consists out of multiple subunits of cytochrome c oxidase, including cytochrome a and cytochrome a3.

The combination of these subunits catalyze following process:


	
	The cytochrome c oxidase is involved in the process of oxidizing reduced cytochrome c to its oxidized form. A process that results in a free electron.
	



	
	4 oxidation rounds results in enough electron to reduce 1 molecule oxygen to 2 molecules water.
	


 

The electron transfer in this process mediates the translocation of protons from the mitochondrial matrix through the inner membrane to the intermembrane space. The created proton gradient will be used to catalyze the reaction in which ADP is converted into ATP.

 

The initiation event is the reversibly or irreversibly interaction to any of the subunits in the mitochondrial complex IV, leading to an perturbation of the electron flow and an absence of proton transport via this complex."
"https://identifiers.org/aop.events/1544","Mitochondrial Complex V inhibition","KE 1544","The mitochondrial complex V (ATPase) is an enzyme complex located in the inner membrane of mitochondria. It is the fifth out of 5 complexes that together form the mitochondrial respiratory chain.


	
	The ATPase catalysed the production of ATP from ADP and Pi using the proton gradient created by complex I,III and IV.
	


 

The initiation event is the reversibly or irreversibly interaction to any of the subunits in the mitochondrial complex V, leading to an perturbation of ATP production."
"https://identifiers.org/aop.events/1549","Liver Injury","KE 1549","Hepatic Injury after apoptosis.(Landesmann, 2016)

Liver injury is the altered state of the liver wherein the normal homeostasis of all process in the liver are perturbed.


 

4 types of liver injury are distinguished in patients:

 

Hepatocellular

(= acute hepatitis)

Characteristics = elevation of serum transaminases (ALT+AST)

 

Choleostatic

(= obstruction of the bile duct (bile cannot flow from liver to duodenum))

Characteristics =

a) elevation in serum alkaline phosphatase (ALP) with normal or mild elevations in serum transaminases (ALT+AST)

b) elevated bilirubin levels

 

Infiltrative

(= sarcoidosis, tuberculosis, liver abscess, metastatic malignancy)

Characteristics =

a) elevation in serum alkaline phosphatase with normal or mild elevations (less than five times normal) in serum transaminases

b) no effects at bilirubin levels

 

Autoimmune

(= autoimmune disease against liver components)

Characteristics = can present itself as hepatocellular when hepatocytes are target (= autoimmune hepatitis) or cholestatic when biliary ducts is the target (primary biliary cirrhosis)

Drug induced liver injury mostly manifest itself as hepatocellular injury, cholestasis or a mixture of both. In a mixture hepatitis the amount of hepatocellular and cholestatic features vary per case.

Biopsy results with mixed hepatitis is a combination of:

Hepatocellular = liver cell necrosis, inflammation

Choleostatic = bile stasis, portal inflammation, injury of bile ducts

Patient with any kind of mixed hepatitis demonstrates the following symptoms:

First symptoms = Fatigue, anorexia and nausea

Later symptoms = jaundice (=skin and eye white become yellows/greenish) dark urine and pruritus (= sensitization of itch)"
"https://identifiers.org/aop.events/155","Inadequate DNA repair","KE 155","DNA lesions may result from the formation of DNA adducts (i.e., covalent modification of DNA by chemicals), or by the action of agents such as radiation that may produce strand breaks or modified nucleotides within the DNA molecule. These DNA lesions are repaired through several mechanistically distinct pathways that can be categorized as follows:


	Damage reversal acts to reverse the damage without breaking any bonds within the sugar phosphate backbone of the DNA. The most prominent enzymes associated with damage reversal are photolyases (Sancar, 2003) that can repair UV dimers in some organisms, and O6-alkylguanine-DNA alkyltransferase (AGT) (Pegg 2011) and oxidative demethylases (Sundheim et al., 2008), which can repair some types of alkylated bases.
	Excision repair involves the removal of a damaged nucleotide(s) through cleavage of the sugar phosphate backbone followed by re-synthesis of DNA within the resultant gap. Excision repair of DNA lesions can be mechanistically divided into: 
	a) Base excision repair (BER) (Dianov and H&uuml;bscher, 2013), in which the damaged base is removed by a damage-specific glycosylase prior to incision of the phosphodiester backbone at the resulting abasic site. This leads to an intermediate that contains a DNA strand break, whereby DNA ligase is then recruited to seal the ends of the DNA.

	b) Nucleotide excision repair (NER) (Sch&auml;rer, 2013), in which the DNA strand containing the damaged nucleotide is incised at sites several nucleotides 5&rsquo; and 3&rsquo; to the site of damage, and a polynucleotide containing the damaged nucleotide is removed prior to DNA resynthesis within the resultant gap and sealing of the ends by DNA ligase.  

	c) Mismatch repair (MMR) (Li et al., 2016)  which does not act on DNA lesions but does recognize mispaired bases resulting from replication errors. In MMR the strand containing the misincorporated base is removed prior to DNA resynthesis.

	The major pathway that removes oxidative DNA damage is base excision repair (BER), which can be either monofunctional or bifunctional; in mammals, a specific DNA glycosylase (OGG1: 8-Oxoguanine glycosylase) is responsible for excision of 8-oxoguanine (8-oxoG) and other oxidative lesions (Hu et al., 2005; Scott et al., 2014; Whitaker et al., 2017). We note that long-patch BER is used for the repair of clustered oxidative lesions, which uses several enzymes from DNA replication pathways (Klungland and Lindahl, 1997). These pathways are described in detail in various reviews e.g., (Whitaker et al., 2017). 
	
	Single strand break repair (SSBR) involves different proteins and enzymes depending on the origin of the SSB (e.g., produced as an intermediate in excision repair or due to direct chemical insult) but the same general steps of repair are taken for all SSBs: detection, DNA end processing, synthesis, and ligation (Caldecott, 2014). Poly-ADP-ribose polymerase1 (PARP1) detects and binds unscheduled SSBs (i.e., not deliberately induced during excision repair) and synthesizes PAR as a signal to the downstream factors in repair. PARP1 is not required to initiate SSBR of BER intermediates. The XRCC1 protein complex is then recruited to the site of damage where a common DNA intermediate as BER was generated, and acts as a scaffold for proteins and enzymes required for repair. Depending on the nature of the damaged termini of the DNA strand, different enzymes are required for end processing to generate the substrates that DNA polymerase &beta; (Pol&beta;; short patch repair) or Pol &delta;/&epsilon; (long patch repair) can bind to synthesize over the gap, although end processing is generally done by polynucleotide kinase. Synthesis in long-patch repair displaces a single stranded flap which is excised by flap endonuclease 1 (FEN1). In short-patch repair, the XRCC1/Lig3&alpha; complex joins the two ends after synthesis. In long-patch repair, the PCNA/Lig1 complex ligates the ends. (Caldecott, 2014). 
	Double strand break repair (DSBR) is necessary to preserve genomic integrity when breaks occur in both strands of a DNA molecule. There are two major pathways for DSBR: homologous recombination (HR), which operates primarily during the S phase of dividing cell types, and nonhomologous end joining (NHEJ), which can function in both dividing and non-dividing cell types. No repair occurs in the M phase (Teruaki Iyama and David M. Wilson III, 2013). DNA repair in mitosis is controversial (Mladenov et al., 2023).


Complex lesions can be created by a single mutagen and can be more difficult to repair, as the mechanism behind how different repair pathways cooperate to address this is still unclear (Aleksandrov et al., 2018). In higher eukaryotes such as mammals, NHEJ is usually the preferred pathway for DNA DSBR. Its use, however, is dependent on the cell type, the gene locus, and the nuclease platform (Miyaoka et al., 2016). The use of NHEJ is also dependent on the cell cycle; NHEJ is generally not the pathway of choice when the cell is in the late S or G2 phase of the cell cycle, or in mitotic cells when the sister chromatid is directly adjacent to the double-strand break (DSB) (Lieber et al., 2003). In these cases, the HR pathway is commonly used for repair of DSBs. Despite this, NHEJ is still used more commonly than HR in human cells. Classical NHEJ (C-NHEJ) is the most common NHEJ repair mechanism, but alternative NHEJ (alt-NHEJ) can also occur, especially in the absence of C-NHEJ and HR.

The process of C-NHEJ in humans requires at least seven core proteins: Ku70, Ku86, DNA-dependent protein kinase complex (DNA-PKcs ), Artemis, X-ray cross-complementing protein 4 (XRCC4), XRCC4-like factor (XLF), and DNA ligase IV (Boboila et al., 2012). When DSBs occur, the Ku proteins, which have a high affinity for DNA ends, will bind to the break site and form a heterodimer. This protects the DNA from exonucleolytic attack and acts to recruit DNA-PKcs, the catalytic subunit, thus forming a trimeric complex on the ends of the DNA strands. Alternative NHEJ, or alt NHEJ, uses small similar sequences in two broken DNA ends to join them together. Unlike the usual repair method (cNHEJ), aNHEJ doesn&#39;t need specific proteins like LIG4 and KU. Instead, it relies on the MRN complex to process the breaks. However, alt NHEJ tends to cause mutations by adding or removing bits of DNA during the repair (Chaudhuri and Nussenzweig, 2017). The kinase activity of DNA-PKcs is then triggered, causing DNA-PKcs to auto-phosphorylate and thereby lose its kinase activity; the now phosphorylated DNA-PKcs dissociates from the DNA-bound Ku proteins. The free DNA-PKcs phosphorylates Artemis, an enzyme that possesses 5&rsquo;-3&rsquo; exonuclease and endonuclease activity in the presence of DNA-PKcs and ATP. Artemis is responsible for &lsquo;cleaning up&rsquo; the ends of the DNA. For 5&rsquo; overhangs, Artemis nicks the overhang, generally leaving a blunt duplex end. For 3&rsquo; overhangs, Artemis will often leave a four- or five-nucleotide single stranded overhang (Pardo et al., 2009; Fattah et al., 2010; Lieber et al., 2010). Next, the XLF and XRCC4 proteins form a complex which makes a channel to bind DNA and aligns the ends for efficient ligation via DNA ligase IV (Hammel et al., 2011).

The process of alt-NHEJ is less well understood than C-NHEJ and is a lower fidelity mechanism.  Alt-NHEJ is known to involve slightly different core proteins than C-NHEJ and required microhomology repeats, but the steps of the pathway are essentially the same between the two processes (reviewed in Chiruvella et al., 2013). It is established, however, that alt-NHEJ is more error-prone in nature than C-NHEJ, which contributes to incorrect DNA repair. Alt-NHEJ is thus considered primarily to be a backup repair mechanism (reviewed in Chiruvella et al., 2013). 

In contrast to NHEJ, HR takes advantage of similar or identical DNA sequences to repair DSBs and is not error-prone (Sung and Klein, 2006). The initiating step of HR is the creation of a 3&rsquo; single strand DNA (ss-DNA) overhang. Combinases such as RecA and Rad51 then bind to the ss-DNA overhang, and other accessory factors, including Rad54, help recognize and invade the homologous region on another DNA strand. From there, DNA polymerases are able to elongate the 3&rsquo; invading single strand and resynthesize the broken DNA strand using the corresponding sequence on the homologous strand.

 

Fidelity of DNA Repair


Most DNA repair pathways are extremely efficient. However, in principal, all DNA repair pathways can be overwhelmed when the DNA lesion burden exceeds the capacity of a given DNA repair pathway to recognize and remove the lesion. Exceeded repair capacity may lead to toxicity or mutagenesis following DNA damage. Apart from extremely high DNA lesion burden, inadequate repair may arise through several different specific mechanisms. For example, during repair of DNA containing O6-alkylguanine adducts, AGT irreversibly binds a single O6-alkylguanine lesion and as a result is inactivated (this is termed suicide inactivation, as its own action causes it to become inactivated). Thus, the capacity of AGT to carry out alkylation repair can become rapidly saturated when the DNA repair rate exceeds the de novo synthesis of AGT (Pegg, 2011).

A second mechanism relates to cell specific differences in the cellular levels or activity of some DNA repair proteins. For example, XPA is an essential component of the NER complex. The level of XPA that is active in NER is low in the testes, which may reduce the efficiency of NER in testes as compared to other tissues (K&ouml;berle et al., 1999). Likewise, both NER and BER have been reported to be deficient in cells lacking functional p53 (Adimoolam and Ford, 2003; Hanawalt et al., 2003; Seo and Jung, 2004). A third mechanism relates to the importance of the DNA sequence context of a lesion in its recognition by DNA repair enzymes. For example, 8-oxoguanine (8-oxoG) is repaired primarily by BER; the lesion is initially acted upon by a bifunctional glycosylase, OGG1, which carries out the initial damage recognition and excision steps of 8-oxoG repair. However, the rate of excision of 8-oxoG is modulated strongly by both chromatin components (Menoni et al., 2012) and DNA sequence context (Allgayer et al., 2013) leading to significant differences in the repair of lesions situated in different chromosomal locations.

DNA repair is also remarkably error-free. However, misrepair can arise during repair under some circumstances. DSBR is notably error prone, particularly when breaks are processed through NHEJ, during which partial loss of genome information is common at the site of the double strand break (Iyama and Wilson, 2013). This is because NHEJ rejoins broken DNA ends without the use of extensive homology; instead, it uses the microhomology present between the two ends of the DNA strand break to ligate the strand back into one. When the overhangs are not compatible, however, indels (insertion or deletion events), duplications, translocations, and inversions in the DNA can occur. These changes in the DNA may lead to significant issues within the cell, including alterations in the gene determinants for cellular fatality (Moore et al., 1996).

Activation of mutagenic DNA repair pathways to withstand cellular or replication stress either from endogenous or exogenous sources can promote cellular viability, albeit at a cost of increased genome instability and mutagenesis (Fitzgerald et al., 2017). These salvage DNA repair pathways including, Break-induced Replication (BIR) and Microhomology-mediated Break-induced Replication (MMBIR). BIR repairs one-ended DSBs and has been extensively studied in yeast as well as in mammalian systems. BIR and MMBIR are linked with heightened levels of mutagenesis, chromosomal rearrangements and ensuing genome instability (Deem et al., 2011; Sakofsky et al., 2015; Saini et al., 2017; Kramara et al., 2018). In mammalian genomes BIR-like synthesis has been proposed to be involved in late stage Mitotic DNA Synthesis (MiDAS) that predominantly occurs at so-called Common Fragile Sites (CFSs) and maintains telomere length under s conditions of replication stress that serve to promote cell viability (Minocherhomji et al., 2015; Bhowmick et al., 2016; Dilley et al., 2016).       

Misrepair may also occur through other repair pathways. Excision repair pathways require the resynthesis of DNA and rare DNA polymerase errors during gap resynthesis will result in mutations (Brown et al., 2011). Errors may also arise during gap resynthesis when the strand that is being used as a template for DNA synthesis contains DNA lesions (Kozmin and Jinks-Robertson, 2013). In addition, it has been shown that sequences that contain tandemly repeated sequences, such as CAG triplet repeats, are subject to expansion during gap resynthesis that occurs during BER of 8-oxoG damage (Liu et al., 2009)."
"https://identifiers.org/aop.events/1557","Neural crest cell migration, reduced","KE 1557","Neural crest cell (NCC) migration is dependent on coordinated expressional alterations of a large number of genes, such as integrins, matrix metalloproteinases, and cytoskeletal components.

The differential regulation of a panel of such genes, has been investigated in an in vitro system, which found that histone deacetylases VPA, TSA, and SAHA exerted similar gene regulatory profiles which were quite distinct from those of other compounds shown to affect NCC migration in a scratch assay (Dreser et al., 2015). A similar experimental setup has applied a broader Affymetrix chip approach to identify biomarkers specific to the inhibition of NCC migration (Pallocca et al., 2016). In vivo evidence for the importance of specific HDACs to NCC migration has been provided by genetic knock down experiments in zebrafish embryos (DeLaurier et al., 2012).

It is likely that the NCC migratory inhibition exerted by HDAC inhibitors is, at least in part, due to the broad transcriptomic impact of HDAC action on histones. However, it cannot be excluded HDAC inhibition could, to some degree, be effects altered acetylation patterns on other proteins, e.g. tubulin acetylation has been shown to be affected by HDAC activity (Hubbert et al., 2002)."
"https://identifiers.org/aop.events/1564","Chemical induced Fanconi syndrome","KE 1564","Fanconi syndrome (FS) is characterized by a lack of reabsorption at the proximal tubule that can have genetic or non-genetic origins. As the proximal tubule is the place of extensive reabsorption from the glomerular filtrate in the nephron, this lack of transport results in dramatic consequences for electrolyte homeostasis. In particular, high levels of glucose, amino acids, bicarbonate, and phosphate are excreted instead of returning to the circulation."
"https://identifiers.org/aop.events/1574","Inhibition, IKK complex","KE 1574","The IKK complex consists of 3 subunits: IKKa, IKKb and NEMO. Normally, this complex can activate NFkB signaling. However, in this MIE, this complex will be disturbed in such a way it can not perform that function anymore. Currently, 3 types of IKK disturbances have been described: (Gupta et al. 2010)


	Adenosine triphosphate (ATP) analogues (e.g. beta-carboline, SC-839): specific IKK interaction, preference for IKK subunits(Kishore et al. 2003)
	Allosteric effect on IKK complex (Burke et al. 2003)
	Interaction with Cys-179 in activation loop of IKKb



	List of Cys-179 interacting compounds: (Heyninck et al. 2014)


However, not many studies performed tests on compounds of interest to identify the specific mechanisms of IKK complex inhibition (Gupta et al. 2010)."
"https://identifiers.org/aop.events/1575","Activation, Caspase 8 pathway","KE 1575","In the caspase 8 pathway, the TRADD adaptor protein recruits FADD after TNFa stimulus and forms a complex together with pro-caspase 8. Caspase 8 will be activated and can directly activate caspase-3 which leads to apoptosis (Melino &amp; Vaux 2010). Furthermore, Caspase 8 can also splice Bid to tBid which promotes disruption of the membrane of mitochondria. Cytochrome C will be released and activate Caspase 9 and Apaf1, which in turn stimulate caspase 8, causing apoptosis (Frederiksson 2012).(Cullen &amp; Martin 2009)"
